[v3] device=mps params=1,928,611 batches/ep tr=1831 va=102 amp=True
[v3] img=256 batch=16 epochs=25 lr=0.0004 warmup=2 ema=0.999
[v3] no resume file at checkpoints/hand_seg_v3.last.pt, starting fresh.
[v3] ep 1 batch 1300/1831 | run 0.5022 | lr 1.33e-04 | t 266s
[v3] ep 1 batch 1350/1831 | run 0.4991 | lr 1.33e-04 | t 276s
[v3] ep 1 batch 1400/1831 | run 0.4961 | lr 1.33e-04 | t 287s
[v3] ep 1 batch 1450/1831 | run 0.4934 | lr 1.33e-04 | t 297s
[v3] ep 1 batch 1500/1831 | run 0.4904 | lr 1.33e-04 | t 307s
[v3] ep 1 batch 1550/1831 | run 0.4875 | lr 1.33e-04 | t 317s
[v3] ep 1 batch 1600/1831 | run 0.4846 | lr 1.33e-04 | t 327s
[v3] ep 1 batch 1650/1831 | run 0.4820 | lr 1.33e-04 | t 337s
[v3] ep 1 batch 1700/1831 | run 0.4792 | lr 1.33e-04 | t 347s
[v3] ep 1 batch 1750/1831 | run 0.4758 | lr 1.33e-04 | t 358s
[v3] ep 1 batch 1800/1831 | run 0.4735 | lr 1.33e-04 | t 368s
[v3] ep  1 | tr 0.4719 | vl_ema 0.3060 | iou_ema 0.6428 *NEW BEST* | total 748s
[v3] ep 2 batch    0/1831 | run 0.3223 | lr 2.00e-04 | t 0s
[v3] ep 2 batch   50/1831 | run 0.3726 | lr 2.00e-04 | t 11s
[v3] ep 2 batch  100/1831 | run 0.3826 | lr 2.00e-04 | t 21s
[v3] ep 2 batch  150/1831 | run 0.3850 | lr 2.00e-04 | t 31s
[v3] ep 2 batch  200/1831 | run 0.3849 | lr 2.00e-04 | t 41s
[v3] ep 2 batch  250/1831 | run 0.3811 | lr 2.00e-04 | t 51s
[v3] ep 2 batch  300/1831 | run 0.3784 | lr 2.00e-04 | t 62s
[v3] ep 2 batch  350/1831 | run 0.3760 | lr 2.00e-04 | t 72s
[v3] ep 2 batch  400/1831 | run 0.3747 | lr 2.00e-04 | t 82s
[v3] ep 2 batch  450/1831 | run 0.3722 | lr 2.00e-04 | t 92s
[v3] ep 2 batch  500/1831 | run 0.3684 | lr 2.00e-04 | t 103s
[v3] ep 2 batch  550/1831 | run 0.3668 | lr 2.00e-04 | t 113s
[v3] ep 2 batch  600/1831 | run 0.3651 | lr 2.00e-04 | t 123s
[v3] ep 2 batch  650/1831 | run 0.3642 | lr 2.00e-04 | t 134s
[v3] ep 2 batch  700/1831 | run 0.3637 | lr 2.00e-04 | t 144s
[v3] ep 2 batch  750/1831 | run 0.3619 | lr 2.00e-04 | t 154s
[v3] ep 2 batch  800/1831 | run 0.3610 | lr 2.00e-04 | t 164s
[v3] ep 2 batch  850/1831 | run 0.3592 | lr 2.00e-04 | t 174s
[v3] ep 2 batch  900/1831 | run 0.3579 | lr 2.00e-04 | t 184s
